Record_ID,Execution_Time_Minutes,Messages_Sent,Memory_Usage_MB,CPU_Utilization_Percent,Error_Count
AAI-01375,19.0,26,1774.6,86.3,0
AAI-01376,99.5,351,3142.2,39.0,0
AAI-01377,27.3,311,2944.7,97.2,1
AAI-01378,38.7,189,2822.4,64.6,0
AAI-01379,118.3,106,2874.9,54.1,3
AAI-01380,63.6,300,3703.4,96.0,0
AAI-01381,40.0,10,1657.9,76.7,0
AAI-01382,106.1,380,815.9,70.1,0
AAI-01383,105.4,246,226.4,73.1,0
AAI-01384,81.2,84,616.7,85.7,1
AAI-01385,83.2,477,1084.4,23.4,0
AAI-01386,25.4,76,2645.0,66.7,0
AAI-01387,12.2,281,3727.9,69.0,0
AAI-01388,119.1,268,3087.3,92.3,0
AAI-01389,18.3,261,1966.1,25.9,2
AAI-01390,39.3,463,1167.5,23.7,0
AAI-01391,21.3,234,2870.4,49.6,0
AAI-01392,92.7,284,2646.6,95.1,0
AAI-01393,91.1,437,607.0,13.4,2
AAI-01394,16.2,90,1653.1,29.3,0
AAI-01395,53.5,381,3104.0,94.7,0
AAI-01396,6.8,366,3422.4,45.7,0
AAI-01397,62.0,423,2323.2,74.8,0
AAI-01398,103.3,463,2384.0,80.5,0
AAI-01399,103.9,494,471.4,57.6,0
AAI-01400,117.1,400,183.5,94.7,0
AAI-01401,47.0,270,1019.0,49.3,0
AAI-01402,39.5,45,552.8,33.4,0
AAI-01403,61.0,408,2320.3,48.9,0
AAI-01404,97.7,298,1801.1,51.0,0
AAI-01405,103.1,371,3250.3,70.5,0
AAI-01406,99.3,86,1275.8,18.4,0
AAI-01407,50.1,499,2357.7,27.3,2
AAI-01408,93.3,141,2012.5,81.9,0
AAI-01409,87.3,441,3312.3,81.4,0
AAI-01410,25.4,31,1308.8,12.8,1
AAI-01411,78.9,92,712.6,24.6,0
AAI-01412,60.3,200,848.8,73.1,0
AAI-01413,100.5,323,1112.6,43.5,0
AAI-01414,105.4,304,3845.4,31.1,0
AAI-01415,79.5,219,2202.5,43.2,0
AAI-01416,81.0,346,3100.3,33.0,0
AAI-01417,38.3,491,1125.1,89.8,0
AAI-01418,20.0,86,1993.4,86.8,1
AAI-01419,20.8,347,856.8,96.1,0
AAI-01420,87.6,202,3541.7,71.1,0
AAI-01421,77.8,80,907.5,82.0,0
AAI-01422,74.8,232,3192.7,40.5,2
AAI-01423,12.9,449,3566.5,98.3,1
AAI-01424,113.3,275,264.7,32.2,0
AAI-01425,8.0,409,2327.9,80.5,3
AAI-01426,74.6,370,2247.5,51.9,2
AAI-01427,104.3,494,1913.7,53.3,0
AAI-01428,114.7,391,3163.3,26.6,0
AAI-01429,86.1,265,3573.3,45.7,1
AAI-01430,23.0,180,2895.3,13.1,0
AAI-01431,89.4,82,3140.9,36.9,1
AAI-01432,11.0,489,2973.4,86.7,3
AAI-01433,61.7,428,1929.4,55.9,1
AAI-01434,57.7,403,1601.5,30.0,0
AAI-01435,21.7,394,137.4,67.9,3
AAI-01436,98.9,77,3190.4,53.0,0
AAI-01437,48.0,38,2179.7,98.9,0
AAI-01438,110.3,484,1924.4,61.9,1
AAI-01439,116.8,333,1121.0,57.3,0
AAI-01440,77.5,55,2587.0,78.5,0
AAI-01441,86.3,286,1332.4,58.3,0
AAI-01442,25.1,363,3889.6,95.0,0
AAI-01443,54.8,142,2429.7,30.3,0
AAI-01444,107.9,365,4038.7,39.2,0
AAI-01445,76.3,44,3968.4,47.8,0
AAI-01446,102.2,271,1811.0,54.4,3
AAI-01447,116.5,421,3196.2,50.8,0
AAI-01448,47.6,302,309.8,24.9,0
AAI-01449,118.0,127,2812.6,75.0,0
AAI-01450,119.0,134,664.2,39.7,3
AAI-01451,61.4,92,3677.7,95.7,0
AAI-01452,62.1,201,3798.2,78.5,0
AAI-01453,37.4,320,3125.2,88.5,0
AAI-01454,117.9,125,1534.2,29.5,0
AAI-01455,107.5,197,3772.9,85.2,0
AAI-01456,60.2,394,2062.0,31.0,0
AAI-01457,21.7,219,1572.3,28.6,3
AAI-01458,81.0,299,3501.0,85.0,0
AAI-01459,96.4,401,4095.5,43.4,0
AAI-01460,80.6,203,3754.4,66.8,0
AAI-01461,41.7,26,3010.5,33.3,0
AAI-01462,21.8,158,3401.0,56.8,0
AAI-01463,5.9,489,3857.4,39.7,0
AAI-01464,99.1,408,2076.6,76.9,0
AAI-01465,109.8,268,1759.8,55.3,3
AAI-01466,68.5,208,3603.1,11.4,1
AAI-01467,6.1,466,1049.0,19.4,1
AAI-01468,43.3,337,2849.4,15.2,0
AAI-01469,51.4,258,664.6,42.3,0
AAI-01470,90.1,110,754.7,96.3,0
AAI-01471,118.1,418,3602.8,28.8,0
AAI-01472,58.6,77,2945.8,15.2,3
AAI-01473,39.6,175,359.8,27.5,2
AAI-01474,35.1,336,3438.2,61.2,0
AAI-01475,38.9,162,3179.8,22.6,0
AAI-01476,12.8,471,2898.0,65.2,0
AAI-01477,12.8,362,1179.3,53.7,0
AAI-01478,49.2,267,2113.1,87.8,3
AAI-01479,88.5,212,2834.6,48.4,0
AAI-01480,114.2,178,908.9,59.8,1
AAI-01481,107.2,457,1303.0,91.8,0
AAI-01482,70.4,260,1899.3,87.2,0
AAI-01483,49.1,468,346.8,21.9,0
AAI-01484,91.8,415,2383.9,39.6,0
AAI-01485,111.3,384,3766.7,83.0,0
AAI-01486,83.0,225,752.3,81.7,0
AAI-01487,81.0,230,1754.9,15.1,0
AAI-01488,55.5,344,3609.2,57.7,0
AAI-01489,43.0,495,618.3,50.1,0
AAI-01490,61.6,429,2782.8,37.1,0
AAI-01491,104.0,285,2230.4,33.4,1
AAI-01492,63.4,258,2782.2,81.7,3
AAI-01493,117.3,316,2097.3,77.8,0
AAI-01494,113.6,198,1178.7,50.2,0
AAI-01495,114.0,264,387.1,83.2,1
AAI-01496,104.7,288,1478.8,88.7,0
AAI-01497,73.2,231,2213.5,83.7,0
AAI-01498,45.2,269,1748.3,61.8,0
AAI-01499,105.6,112,1736.5,27.9,0
AAI-01500,71.3,320,2568.6,24.3,0
AAI-01501,36.1,424,3351.3,70.1,1
AAI-01502,13.1,192,486.3,73.5,0
AAI-01503,66.7,410,368.8,24.9,0
AAI-01504,34.2,456,3541.4,54.2,0
AAI-01505,81.0,293,766.0,48.5,1
AAI-01506,11.0,496,2326.3,74.4,0
AAI-01507,32.2,347,1160.8,23.0,3
AAI-01508,47.1,411,4041.7,13.2,0
AAI-01509,93.9,87,1549.4,63.0,0
AAI-01510,30.7,259,3354.5,20.6,0
AAI-01511,43.0,121,1447.3,38.4,0
AAI-01512,81.4,274,929.4,67.5,2
AAI-01513,17.7,496,344.8,45.7,0
AAI-01514,95.3,269,3072.7,46.1,0
AAI-01515,73.2,233,3367.9,27.6,0
AAI-01516,99.3,102,3752.1,22.6,1
AAI-01517,33.2,349,3791.0,17.7,0
AAI-01518,40.4,402,1213.0,89.2,3
AAI-01519,71.2,461,2122.3,94.1,0
AAI-01520,118.0,161,2160.5,61.3,1
AAI-01521,49.3,333,1926.8,90.4,0
AAI-01522,9.6,245,4067.6,86.2,0
AAI-01523,62.4,280,359.3,70.9,0
AAI-01524,78.0,314,2500.6,46.8,0
AAI-01525,42.7,107,134.1,51.5,0
AAI-01526,35.1,410,1805.2,54.9,0
AAI-01527,19.1,472,4074.2,84.4,1
AAI-01528,12.3,147,287.2,35.0,1
AAI-01529,96.3,395,376.5,82.0,0
AAI-01530,76.1,320,1432.2,96.8,1
AAI-01531,60.8,44,964.9,11.9,0
AAI-01532,49.8,435,1065.6,22.1,1
AAI-01533,42.5,175,287.5,68.5,0
AAI-01534,6.6,265,1972.6,38.7,0
AAI-01535,43.7,307,2996.9,88.5,0
AAI-01536,49.9,289,1493.5,90.2,0
AAI-01537,13.5,404,3109.2,57.9,0
AAI-01538,89.6,329,3222.1,40.3,2
AAI-01539,79.4,346,2249.7,41.8,1
AAI-01540,5.6,333,1931.3,41.3,0
AAI-01541,37.9,272,4032.2,60.8,0
AAI-01542,118.0,262,3336.0,37.0,0
AAI-01543,58.5,117,1500.9,15.7,0
AAI-01544,106.5,361,3061.0,41.9,0
AAI-01545,115.4,343,1324.3,39.5,0
AAI-01546,62.4,252,1109.9,86.6,2
AAI-01547,16.4,359,3598.2,89.1,0
AAI-01548,47.6,317,2105.9,31.0,4
AAI-01549,82.9,145,2917.6,44.3,0
AAI-01550,76.6,28,1190.8,91.0,0
AAI-01551,16.3,334,3595.6,57.2,2
AAI-01552,52.6,330,250.7,38.5,4
AAI-01553,113.0,11,1741.2,85.1,0
AAI-01554,54.4,150,2256.2,15.6,0
AAI-01555,98.6,371,1479.1,14.3,0
AAI-01556,65.2,412,2016.3,72.6,0
AAI-01557,96.1,204,1307.9,66.5,0
AAI-01558,96.7,433,2860.4,38.8,0
AAI-01559,77.0,293,2809.2,73.9,0
AAI-01560,110.9,90,3475.8,13.4,1
AAI-01561,52.9,263,135.8,65.7,0
AAI-01562,57.9,469,1619.8,27.8,0
AAI-01563,66.2,15,3830.1,45.6,0
AAI-01564,90.7,379,1438.9,46.3,0
AAI-01565,57.9,90,2764.6,95.4,2
AAI-01566,98.7,411,298.8,96.1,0
AAI-01567,65.4,174,3899.9,73.3,0
AAI-01568,118.3,300,3372.2,12.3,0
AAI-01569,71.7,234,4019.3,57.3,0
AAI-01570,32.1,297,3670.8,22.8,0
AAI-01571,92.5,262,3766.3,32.7,1
AAI-01572,119.9,196,832.1,90.8,0
AAI-01573,13.5,398,3376.0,53.4,0
AAI-01574,79.6,38,154.5,80.4,2
AAI-01575,65.2,199,3646.5,72.1,0
AAI-01576,80.1,12,918.3,22.7,0
AAI-01577,33.3,449,3661.7,86.1,1
AAI-01578,46.7,24,3947.8,15.0,0
AAI-01579,49.8,129,1420.6,14.8,0
AAI-01580,113.3,195,3518.6,72.0,0
AAI-01581,38.3,256,4092.6,63.3,0
AAI-01582,26.3,496,1850.4,37.4,0
AAI-01583,108.2,483,2925.9,14.3,0
AAI-01584,15.7,128,852.3,13.5,0
AAI-01585,62.6,163,1395.5,38.9,0
AAI-01586,88.9,402,1694.0,48.4,0
AAI-01587,34.9,234,2754.9,57.7,0
AAI-01588,46.2,84,789.0,81.8,1
AAI-01589,77.4,494,782.4,88.5,1
AAI-01590,72.7,360,3743.5,94.8,4
AAI-01591,99.2,406,665.9,64.7,1
AAI-01592,42.5,389,231.6,49.1,3
AAI-01593,26.1,42,2245.1,34.5,0
AAI-01594,69.6,318,4040.6,76.0,0
AAI-01595,118.2,25,3088.3,61.6,1
AAI-01596,117.0,289,1543.8,97.1,1
AAI-01597,97.8,463,1391.0,69.9,0
AAI-01598,71.7,306,823.6,43.2,0
AAI-01599,113.3,366,3393.1,58.3,0
AAI-01600,81.0,417,3694.9,38.8,0
AAI-01601,40.1,168,184.8,32.8,0
AAI-01602,36.5,229,2805.8,17.3,1
AAI-01603,109.7,223,1897.1,80.0,2
AAI-01604,76.9,124,2148.8,86.4,0
AAI-01605,10.5,102,2282.2,94.2,0
AAI-01606,77.5,51,2165.9,23.9,0
AAI-01607,92.1,122,2574.4,64.9,0
AAI-01608,26.8,143,2767.3,80.0,0
AAI-01609,55.8,384,3227.2,64.8,4
AAI-01610,33.3,364,1395.1,17.0,0
AAI-01611,37.3,264,1555.3,58.2,0
AAI-01612,76.9,314,2388.3,52.3,0
AAI-01613,60.8,487,1999.0,31.6,0
AAI-01614,51.1,313,447.5,70.0,0
AAI-01615,15.4,137,574.4,54.5,2
AAI-01616,111.9,341,1426.5,17.3,0
AAI-01617,25.8,83,3546.7,29.6,0
AAI-01618,53.1,140,1542.7,95.0,0
AAI-01619,9.1,85,527.3,72.9,0
AAI-01620,27.4,430,413.8,44.2,4
AAI-01621,106.5,344,303.5,36.7,0
AAI-01622,111.6,60,3994.2,36.0,3
AAI-01623,62.6,474,398.9,89.6,0
AAI-01624,76.1,445,3517.6,27.9,0
AAI-01625,89.6,479,3324.6,82.7,1
AAI-01626,17.7,23,1240.3,50.5,1
AAI-01627,100.4,194,248.0,10.1,3
AAI-01628,101.8,26,573.4,66.4,0
AAI-01629,22.1,75,4042.3,45.6,0
AAI-01630,97.3,349,3026.7,25.0,0
AAI-01631,5.7,308,2583.2,67.9,0
AAI-01632,29.3,64,2256.9,70.3,0
AAI-01633,19.1,299,3795.5,92.8,0
AAI-01634,65.2,153,1262.1,26.9,1
AAI-01635,106.4,376,709.9,53.0,0
AAI-01636,25.8,30,164.0,75.9,0
AAI-01637,17.2,174,2488.6,68.8,0
AAI-01638,37.4,322,2088.5,23.4,2
AAI-01639,9.2,122,1068.5,54.0,0
AAI-01640,55.5,340,132.6,38.4,0
AAI-01641,118.3,140,1348.2,37.1,0
AAI-01642,73.9,270,211.6,37.9,0
AAI-01643,74.1,421,1525.0,71.9,3
AAI-01644,56.8,353,3165.2,15.9,0
AAI-01645,95.6,428,3917.6,36.2,0
AAI-01646,48.7,90,2816.4,48.4,0
AAI-01647,17.9,360,294.7,42.1,0
AAI-01648,118.5,139,1281.5,81.5,4
AAI-01649,82.2,454,3576.5,30.6,0
AAI-01650,29.7,385,419.1,21.2,0
AAI-01651,62.0,45,301.5,12.4,0
AAI-01652,87.1,12,3074.1,39.8,0
AAI-01653,56.0,237,1872.8,50.9,1
AAI-01654,116.9,76,2296.9,52.0,1
AAI-01655,20.1,179,793.4,28.0,1
AAI-01656,9.8,75,1009.9,90.4,0
AAI-01657,98.9,35,681.2,22.7,0
AAI-01658,85.6,90,1395.3,76.5,1
AAI-01659,8.8,393,865.8,19.1,1
AAI-01660,71.9,53,2403.6,62.5,0
AAI-01661,43.9,262,1350.5,97.1,1
AAI-01662,88.0,298,480.8,93.8,1
AAI-01663,119.6,225,3790.5,14.3,0
AAI-01664,79.3,101,3351.4,54.5,0
AAI-01665,45.3,303,400.8,91.5,1
AAI-01666,85.3,112,2305.8,44.1,0
AAI-01667,66.7,103,755.5,41.0,0
AAI-01668,62.2,340,3253.5,64.3,0
AAI-01669,25.4,373,2287.7,40.8,0
AAI-01670,95.7,393,2936.4,34.1,0
AAI-01671,80.0,356,535.6,53.7,0
AAI-01672,18.0,259,1994.1,37.7,1
AAI-01673,59.2,158,1930.0,28.1,0
AAI-01674,21.6,41,717.1,86.4,0
AAI-01675,90.4,468,1069.7,11.5,4
AAI-01676,49.4,43,1739.7,42.7,0
AAI-01677,43.8,393,2315.5,59.4,2
AAI-01678,105.6,239,2101.8,57.9,0
AAI-01679,11.9,42,3157.5,25.6,0
AAI-01680,71.0,348,2362.8,22.0,3
AAI-01681,32.1,90,3312.2,16.3,0
AAI-01682,104.5,177,1213.2,10.2,0
AAI-01683,80.7,402,3222.6,84.0,0
AAI-01684,61.9,53,2211.1,50.3,0
AAI-01685,39.8,52,1926.5,98.4,0
AAI-01686,80.3,218,195.8,28.6,0
AAI-01687,103.3,284,3161.2,25.4,0
AAI-01688,105.9,284,1445.8,51.4,0
AAI-01689,100.6,171,2237.0,71.6,1
AAI-01690,82.2,233,1639.1,98.7,0
AAI-01691,34.3,187,3969.5,21.1,0
AAI-01692,106.2,58,3416.9,74.5,0
AAI-01693,11.9,244,1390.8,49.0,2
AAI-01694,100.2,198,3487.6,86.2,0
AAI-01695,30.5,127,2438.9,34.4,0
AAI-01696,84.8,471,3634.3,52.2,0
AAI-01697,6.7,71,3837.7,88.4,0
AAI-01698,11.8,205,2362.9,72.7,1
AAI-01699,86.8,287,3574.8,15.9,0
AAI-01700,26.8,369,734.5,82.3,0
AAI-01701,88.1,416,3667.2,68.0,0
AAI-01702,75.8,499,2725.5,76.0,0
AAI-01703,104.8,274,3034.0,18.2,0
AAI-01704,16.7,140,1514.3,59.6,0
AAI-01705,6.7,132,935.7,55.8,0
AAI-01706,35.3,246,2281.4,45.5,2
AAI-01707,64.4,405,712.1,30.3,0
AAI-01708,115.2,210,543.1,51.3,0
AAI-01709,80.9,485,3038.2,78.0,0
AAI-01710,39.1,360,2481.0,96.5,0
AAI-01711,16.7,126,2898.2,43.4,0
AAI-01712,111.7,165,3593.6,86.8,0
AAI-01713,29.5,207,2218.5,25.7,1
AAI-01714,11.3,51,3403.2,11.5,0
AAI-01715,56.2,287,3122.7,92.6,0
AAI-01716,119.6,310,2958.7,21.9,2
AAI-01717,83.9,25,626.2,79.2,0
AAI-01718,59.7,53,1467.2,55.7,1
AAI-01719,52.6,254,1207.8,83.7,0
AAI-01720,99.3,351,1359.0,80.9,0
AAI-01721,75.4,146,3816.3,92.1,4
AAI-01722,45.5,86,3822.2,37.7,0
AAI-01723,103.5,417,2008.4,55.9,0
AAI-01724,90.2,422,3122.1,10.8,0
AAI-01725,60.3,428,3430.7,89.1,3
AAI-01726,58.9,23,1015.7,61.9,0
AAI-01727,73.1,408,181.8,41.5,0
AAI-01728,100.6,413,2823.0,81.8,0
AAI-01729,107.5,26,3152.3,39.1,1
AAI-01730,55.8,124,1901.8,64.9,1
AAI-01731,84.5,469,2000.0,13.9,0
AAI-01732,53.7,305,2686.6,68.8,0
AAI-01733,42.9,192,1821.4,54.1,0
AAI-01734,44.1,332,2279.5,82.7,0
AAI-01735,61.8,33,1283.4,93.6,0
AAI-01736,76.5,352,4011.9,92.8,0
AAI-01737,17.7,469,3830.4,15.6,0
AAI-01738,66.1,240,3138.9,35.2,2
AAI-01739,60.8,456,3597.9,82.5,1
AAI-01740,36.5,288,1065.9,46.3,0
AAI-01741,52.7,282,2240.2,29.9,0
AAI-01742,23.6,308,2580.4,27.9,0
AAI-01743,58.4,72,3145.4,64.7,0
AAI-01744,46.7,26,615.1,94.7,2
AAI-01745,81.1,412,1747.0,69.2,0
AAI-01746,109.8,447,2731.0,63.8,0
AAI-01747,83.0,159,202.9,35.9,2
AAI-01748,68.9,406,541.2,90.5,0
AAI-01749,44.0,303,1690.6,72.7,2
AAI-01750,118.2,227,473.5,64.9,0
AAI-01751,93.4,322,488.0,41.6,1
AAI-01752,108.2,32,2532.8,59.9,0
AAI-01753,105.0,413,253.9,29.7,0
AAI-01754,79.8,180,1938.7,83.6,0
AAI-01755,24.8,489,2750.7,39.8,0
AAI-01756,85.5,482,2941.9,89.2,0
AAI-01757,29.5,385,2749.2,24.2,0
AAI-01758,35.0,472,3798.7,41.7,2
AAI-01759,9.4,217,2574.1,79.5,2
AAI-01760,99.1,212,1022.1,52.2,0
AAI-01761,73.0,417,373.8,50.0,1
AAI-01762,62.1,184,2140.4,58.1,1
AAI-01763,92.7,344,272.3,91.1,0
AAI-01764,114.7,206,2596.9,14.3,0
AAI-01765,72.0,308,3561.1,40.0,0
AAI-01766,40.9,14,3469.6,27.7,0
AAI-01767,17.1,266,2476.4,73.6,0
AAI-01768,69.1,10,1130.1,98.9,0
AAI-01769,82.8,131,218.6,46.2,0
AAI-01770,25.6,411,1372.8,96.2,0
AAI-01771,37.7,288,2851.4,89.1,0
AAI-01772,78.9,480,1623.4,93.7,0
AAI-01773,101.3,401,1142.6,52.2,0
AAI-01774,97.5,45,3616.3,36.5,0
AAI-01775,53.7,477,3570.5,31.0,0
AAI-01776,45.0,129,1290.4,20.6,0
AAI-01777,105.3,237,3963.9,41.2,0
AAI-01778,77.5,54,1390.6,79.5,0
AAI-01779,62.4,288,1822.4,80.3,4
AAI-01780,65.6,330,2735.3,11.7,1
AAI-01781,69.4,365,444.6,82.3,0
AAI-01782,33.4,395,844.1,41.9,0
AAI-01783,36.1,117,1511.5,15.3,0
AAI-01784,48.3,160,3482.6,35.0,4
AAI-01785,98.8,249,2494.7,36.0,0
AAI-01786,84.9,440,172.8,46.4,0
AAI-01787,46.9,93,741.7,82.1,1
AAI-01788,25.5,93,2355.1,34.8,0
AAI-01789,108.1,79,1829.0,23.3,0
AAI-01790,64.8,233,2350.7,68.9,0
AAI-01791,23.7,139,736.3,97.1,1
AAI-01792,21.4,152,1407.6,25.3,0
AAI-01793,46.0,215,3842.9,60.3,0
AAI-01794,58.7,452,1468.5,14.8,0
AAI-01795,20.4,176,3594.7,79.5,0
AAI-01796,40.2,62,1372.2,69.4,0
AAI-01797,77.3,297,2772.2,82.7,0
AAI-01798,39.4,87,1272.3,19.8,0
AAI-01799,7.5,40,139.7,61.1,0
AAI-01800,113.8,177,3721.0,92.5,3
AAI-01801,115.1,170,3935.4,70.6,0
AAI-01802,52.1,53,1205.9,23.4,0
AAI-01803,5.3,263,3753.9,73.0,4
AAI-01804,107.4,380,3663.9,59.3,1
AAI-01805,54.4,290,1645.2,57.6,2
AAI-01806,56.7,164,514.8,24.7,3
AAI-01807,93.3,101,1088.3,66.9,0
AAI-01808,72.3,349,3336.3,48.1,0
AAI-01809,73.6,74,4053.2,10.3,0
AAI-01810,26.9,284,2710.6,57.4,0
AAI-01811,27.4,293,3184.8,85.4,0
AAI-01812,92.1,476,432.0,49.1,0
AAI-01813,67.8,290,3340.0,70.6,0
AAI-01814,107.0,82,1815.9,12.7,1
AAI-01815,79.0,50,2742.3,67.6,3
AAI-01816,63.3,152,1599.5,90.2,0
AAI-01817,93.6,480,1781.8,69.3,0
AAI-01818,54.3,416,1382.4,32.4,0
AAI-01819,58.3,124,3184.8,12.3,0
AAI-01820,5.9,484,2914.4,73.7,0
AAI-01821,88.3,411,2525.0,13.9,0
AAI-01822,59.1,335,1545.6,47.6,1
AAI-01823,92.0,73,2560.8,73.1,0
AAI-01824,118.1,80,2406.7,15.3,0
AAI-01825,37.2,14,2536.8,42.1,4
AAI-01826,32.0,374,1920.0,46.6,0
AAI-01827,98.6,394,1710.4,85.9,0
AAI-01828,26.1,427,1831.2,10.8,0
AAI-01829,55.9,138,595.9,60.1,0
AAI-01830,16.7,296,637.1,34.4,0
AAI-01831,25.5,467,946.6,63.8,0
AAI-01832,60.4,233,407.0,16.0,1
AAI-01833,77.2,153,314.3,98.5,0
AAI-01834,22.7,211,3588.1,51.6,1
AAI-01835,49.0,228,1812.6,23.3,0
AAI-01836,24.9,393,932.5,51.2,0
AAI-01837,101.6,266,3586.2,11.4,0
AAI-01838,101.9,207,2528.7,47.5,0
AAI-01839,36.9,50,1312.9,58.8,0
AAI-01840,96.2,335,2285.0,72.3,0
AAI-01841,31.9,311,2955.8,57.2,1
AAI-01842,74.3,441,948.0,34.6,0
AAI-01843,29.4,446,2470.5,78.6,1
AAI-01844,31.5,211,1184.7,75.5,0
AAI-01845,88.9,28,363.4,62.1,1
AAI-01846,18.3,119,254.4,61.3,0
AAI-01847,56.4,444,2751.2,47.1,0
AAI-01848,44.2,87,2664.6,18.3,1
AAI-01849,33.9,225,1649.8,48.9,2
AAI-01850,12.0,316,3109.4,67.9,0
AAI-01851,65.5,118,470.0,61.5,4
AAI-01852,53.9,493,3566.6,90.1,0
AAI-01853,60.0,424,1424.1,53.0,0
AAI-01854,111.5,386,2706.6,60.9,0
AAI-01855,79.4,23,1980.9,62.5,0
AAI-01856,115.5,13,3012.6,33.8,0
AAI-01857,80.4,496,2656.0,23.0,2
AAI-01858,22.8,467,341.6,28.2,1
AAI-01859,45.3,284,2374.0,53.3,0
AAI-01860,53.9,203,3899.6,59.1,0
AAI-01861,78.7,315,2661.8,71.7,0
AAI-01862,30.1,424,1440.3,87.9,0
AAI-01863,73.4,363,3616.5,95.2,0
AAI-01864,106.4,254,3130.0,65.9,0
AAI-01865,86.4,167,461.8,59.5,0
AAI-01866,11.8,488,1587.2,56.4,0
AAI-01867,90.5,67,3779.1,22.9,0
AAI-01868,68.3,322,3779.7,64.3,0
AAI-01869,55.4,107,213.9,35.1,0
AAI-01870,102.6,331,3873.2,68.7,0
AAI-01871,83.9,85,373.0,15.6,1
AAI-01872,76.5,289,3610.1,44.7,0
AAI-01873,119.4,312,2040.1,68.2,0
AAI-01874,38.3,443,3961.0,34.5,3
AAI-01875,78.8,455,3536.7,29.8,0
AAI-01876,54.4,488,600.5,41.2,0
AAI-01877,13.6,254,633.3,30.1,3
AAI-01878,118.1,144,425.4,86.0,2
AAI-01879,7.8,159,1463.7,38.0,3
AAI-01880,90.0,465,1393.2,16.5,2
AAI-01881,40.8,80,3555.2,26.3,0
AAI-01882,75.7,11,845.1,47.4,0
AAI-01883,23.4,215,1677.5,58.1,0
AAI-01884,72.8,284,1065.1,27.8,1
AAI-01885,96.3,314,1980.0,37.4,0
AAI-01886,60.9,347,425.5,68.5,2
AAI-01887,107.7,438,737.5,10.2,0
AAI-01888,38.3,10,3086.5,39.5,0
AAI-01889,28.3,165,2824.2,14.6,0
AAI-01890,70.9,274,3080.2,36.5,0
AAI-01891,86.7,31,1210.5,33.3,0
AAI-01892,77.8,84,3611.5,10.9,0
AAI-01893,85.2,255,142.7,73.4,0
AAI-01894,7.4,428,3925.9,31.5,0
AAI-01895,19.7,172,817.5,92.8,0
AAI-01896,74.2,431,3169.2,93.4,0
AAI-01897,94.4,476,3567.7,30.1,0
AAI-01898,38.7,157,877.4,21.7,0
AAI-01899,62.6,271,1296.5,58.6,0
AAI-01900,88.4,80,3639.2,84.4,0
AAI-01901,49.2,178,711.3,28.3,4
AAI-01902,27.9,460,2943.9,78.7,0
AAI-01903,118.4,300,2665.1,59.2,1
AAI-01904,35.8,342,995.4,67.0,0
AAI-01905,58.6,120,2555.5,40.9,0
AAI-01906,32.3,84,3734.0,51.9,1
AAI-01907,111.7,274,3627.3,94.2,3
AAI-01908,110.2,113,1618.4,81.3,0
AAI-01909,105.2,46,1753.6,97.0,0
AAI-01910,38.4,139,260.4,35.3,3
AAI-01911,65.9,20,979.8,94.3,1
AAI-01912,13.6,426,2321.4,55.3,0
AAI-01913,70.4,252,3990.3,78.3,0
AAI-01914,38.2,80,2648.8,27.6,0
AAI-01915,80.9,166,2816.5,27.7,0
AAI-01916,44.9,154,3668.1,41.5,0
AAI-01917,34.2,171,1321.7,78.1,0
AAI-01918,44.0,436,753.3,96.0,0
AAI-01919,57.0,85,3332.4,52.1,0
AAI-01920,30.3,274,2741.7,44.1,0
AAI-01921,69.5,105,2722.3,13.1,0
AAI-01922,24.6,82,1769.0,22.0,0
AAI-01923,79.3,343,1256.1,15.3,0
AAI-01924,67.7,67,753.6,74.3,2
AAI-01925,79.9,424,1652.1,51.4,1
AAI-01926,39.4,464,3147.4,27.9,2
AAI-01927,50.6,183,1342.1,94.9,0
AAI-01928,47.4,307,2065.6,89.0,0
AAI-01929,68.2,362,3196.8,79.9,0
AAI-01930,8.7,305,1600.5,57.2,2
AAI-01931,72.1,378,649.4,78.7,0
AAI-01932,23.4,43,2009.7,85.8,0
AAI-01933,46.1,313,1972.1,26.5,0
AAI-01934,80.2,48,2604.5,10.7,0
AAI-01935,119.9,263,3675.3,28.0,0
AAI-01936,108.1,416,2613.1,12.0,0
AAI-01937,81.0,361,1006.2,81.2,0
AAI-01938,6.4,254,2558.2,95.9,0
AAI-01939,88.5,162,279.4,71.3,0
AAI-01940,65.8,429,3413.3,35.8,0
AAI-01941,98.7,453,303.8,93.8,0
AAI-01942,38.7,249,804.2,17.1,1
AAI-01943,65.7,488,2355.2,78.4,2
AAI-01944,25.8,186,3497.2,35.5,0
AAI-01945,113.1,477,1375.3,61.7,0
AAI-01946,22.0,357,2827.5,46.7,0
AAI-01947,77.2,175,3569.6,24.9,4
AAI-01948,39.6,260,1596.4,42.3,0
AAI-01949,95.4,450,3224.0,51.6,0
AAI-01950,25.2,460,1396.3,82.5,1
AAI-01951,42.1,362,211.6,60.6,0
AAI-01952,52.6,291,3733.2,69.5,0
AAI-01953,97.2,134,2015.9,29.9,4
AAI-01954,37.0,126,2292.8,15.8,1
AAI-01955,50.0,78,3412.1,76.2,0
AAI-01956,117.3,181,474.8,44.1,3
AAI-01957,16.4,173,447.9,32.9,0
AAI-01958,70.1,382,2362.2,70.4,0
AAI-01959,85.5,65,850.5,88.6,0
AAI-01960,6.0,409,576.6,38.5,0
